,country,region,year,count
32472,AT,MAŁOPOLSKIE,2005,39796.0
32473,AT,MAŁOPOLSKIE,2006,36299.0
32474,AT,MAŁOPOLSKIE,2007,37756.0
32475,AT,MAŁOPOLSKIE,2008,34372.0
32476,AT,MAŁOPOLSKIE,2009,34078.0
32477,AT,MAŁOPOLSKIE,2010,36307.0
32478,AT,MAŁOPOLSKIE,2011,34190.0
32479,AT,MAŁOPOLSKIE,2012,37639.0
32480,AT,MAŁOPOLSKIE,2013,42234.0
32481,AT,MAŁOPOLSKIE,2014,39009.0
32482,AT,MAŁOPOLSKIE,2015,39480.0
32483,AT,MAŁOPOLSKIE,2016,40404.0
32484,AT,MAŁOPOLSKIE,2017,41077.0
32485,AT,MAŁOPOLSKIE,2018,41201.0
32486,AT,MAŁOPOLSKIE,2019,39331.0
34244,AT,ŚLĄSKIE,2005,12421.0
34245,AT,ŚLĄSKIE,2006,12796.0
34246,AT,ŚLĄSKIE,2007,15891.0
34247,AT,ŚLĄSKIE,2008,11382.0
34248,AT,ŚLĄSKIE,2009,10791.0
34249,AT,ŚLĄSKIE,2010,9920.0
34250,AT,ŚLĄSKIE,2011,10711.0
34251,AT,ŚLĄSKIE,2012,10626.0
34252,AT,ŚLĄSKIE,2013,10968.0
34253,AT,ŚLĄSKIE,2014,11387.0
34254,AT,ŚLĄSKIE,2015,13076.0
34255,AT,ŚLĄSKIE,2016,16316.0
34256,AT,ŚLĄSKIE,2017,13822.0
34257,AT,ŚLĄSKIE,2018,14249.0
34258,AT,ŚLĄSKIE,2019,13445.0
35865,AT,LUBUSKIE,2005,651.0
35866,AT,LUBUSKIE,2006,637.0
35867,AT,LUBUSKIE,2007,666.0
35868,AT,LUBUSKIE,2008,1817.0
35869,AT,LUBUSKIE,2009,1021.0
35870,AT,LUBUSKIE,2010,1292.0
35871,AT,LUBUSKIE,2011,1527.0
35872,AT,LUBUSKIE,2012,1085.0
35873,AT,LUBUSKIE,2013,1373.0
35874,AT,LUBUSKIE,2014,1123.0
35875,AT,LUBUSKIE,2015,1584.0
35876,AT,LUBUSKIE,2016,2767.0
35877,AT,LUBUSKIE,2017,1331.0
35878,AT,LUBUSKIE,2018,894.0
35879,AT,LUBUSKIE,2019,984.0
36753,AT,WIELKOPOLSKIE,2005,5323.0
36754,AT,WIELKOPOLSKIE,2006,6877.0
36755,AT,WIELKOPOLSKIE,2007,5666.0
36756,AT,WIELKOPOLSKIE,2008,5909.0
36757,AT,WIELKOPOLSKIE,2009,5854.0
36758,AT,WIELKOPOLSKIE,2010,6522.0
36759,AT,WIELKOPOLSKIE,2011,6873.0
36760,AT,WIELKOPOLSKIE,2012,6703.0
36761,AT,WIELKOPOLSKIE,2013,5643.0
36762,AT,WIELKOPOLSKIE,2014,5262.0
36763,AT,WIELKOPOLSKIE,2015,6126.0
36764,AT,WIELKOPOLSKIE,2016,7252.0
36765,AT,WIELKOPOLSKIE,2017,7178.0
36766,AT,WIELKOPOLSKIE,2018,6875.0
36767,AT,WIELKOPOLSKIE,2019,7183.0
38583,AT,ZACHODNIOPOMORSKIE,2005,3594.0
38584,AT,ZACHODNIOPOMORSKIE,2006,3452.0
38585,AT,ZACHODNIOPOMORSKIE,2007,3931.0
38586,AT,ZACHODNIOPOMORSKIE,2008,3166.0
38587,AT,ZACHODNIOPOMORSKIE,2009,2877.0
38588,AT,ZACHODNIOPOMORSKIE,2010,2785.0
38589,AT,ZACHODNIOPOMORSKIE,2011,4065.0
